epoch,accuracy,loss,val_accuracy,val_loss
0,0.29798001050949097,1.9196059703826904,0.3806999921798706,1.7522636651992798
1,0.4385800063610077,1.5507768392562866,0.4422000050544739,1.5535590648651123
2,0.47898000478744507,1.4481573104858398,0.4830999970436096,1.4480711221694946
3,0.5074800252914429,1.3773856163024902,0.520799994468689,1.3432204723358154
4,0.5254600048065186,1.3253629207611084,0.5285000205039978,1.3120197057724
5,0.5433599948883057,1.283172607421875,0.54339998960495,1.2994929552078247
6,0.5554999709129333,1.2480194568634033,0.5430999994277954,1.3018368482589722
7,0.567080020904541,1.2195539474487305,0.5303999781608582,1.3493449687957764
8,0.5774800181388855,1.1932684183120728,0.5468999743461609,1.2791895866394043
9,0.586080014705658,1.168635368347168,0.5684999823570251,1.2270036935806274
10,0.5972999930381775,1.1425063610076904,0.5559999942779541,1.262130856513977
11,0.6053400039672852,1.121464729309082,0.5698999762535095,1.234946370124817
12,0.6139400005340576,1.1000734567642212,0.5751000046730042,1.212226152420044
13,0.6208199858665466,1.0793354511260986,0.571399986743927,1.2211573123931885
14,0.6269199848175049,1.0599160194396973,0.5799999833106995,1.196920394897461
15,0.632099986076355,1.0444201231002808,0.5863000154495239,1.1858166456222534
16,0.6399800181388855,1.024855375289917,0.5911999940872192,1.178446650505066
17,0.6432200074195862,1.0089936256408691,0.5839999914169312,1.1944879293441772
18,0.6513800024986267,0.9940552115440369,0.5860999822616577,1.1854568719863892
19,0.658240020275116,0.9731413125991821,0.5903000235557556,1.184002161026001
20,0.6642199754714966,0.9558636546134949,0.58160001039505,1.2109692096710205
21,0.667900025844574,0.9421700239181519,0.5911999940872192,1.1797804832458496
22,0.6757000088691711,0.9259157180786133,0.5781999826431274,1.2469195127487183
23,0.6787400245666504,0.9124652147293091,0.5961999893188477,1.1832845211029053
24,0.6878399848937988,0.894862711429596,0.5960999727249146,1.1932294368743896
25,0.6898000240325928,0.882720947265625,0.5932999849319458,1.190352439880371
26,0.6959599852561951,0.865989089012146,0.590399980545044,1.2135218381881714
27,0.6995999813079834,0.8551415801048279,0.5866000056266785,1.2548977136611938
28,0.7041000127792358,0.8398800492286682,0.593500018119812,1.2251604795455933
29,0.707360029220581,0.8289315104484558,0.5903000235557556,1.2494935989379883
30,0.7144200205802917,0.8124346137046814,0.5921000242233276,1.2389122247695923
31,0.7190399765968323,0.7991429567337036,0.5910000205039978,1.249569296836853
32,0.7215399742126465,0.7901973724365234,0.5881999731063843,1.2819311618804932
33,0.7270600199699402,0.7736315131187439,0.5916000008583069,1.275193691253662
34,0.7313399910926819,0.7606865763664246,0.5789999961853027,1.3211702108383179
35,0.7349799871444702,0.7502195835113525,0.5898000001907349,1.2980760335922241
36,0.7407400012016296,0.7357069253921509,0.5913000106811523,1.2762199640274048
37,0.7443199753761292,0.7258993983268738,0.5906000137329102,1.3149229288101196
38,0.7498599886894226,0.7138327360153198,0.5906000137329102,1.3103046417236328
39,0.7501400113105774,0.7014277577400208,0.5885000228881836,1.3232249021530151
40,0.7547199726104736,0.6904399991035461,0.5924999713897705,1.3380979299545288
41,0.7601400017738342,0.6768646836280823,0.5934000015258789,1.3551098108291626
